"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Sam McIntyre","Interchange",63,0,1,0,0,0.2
"Tom Starling","Interchange",96,0,1,0,0,0.2
"Hudson Young","Interchange",92,1,1,1,0.2,0.2
"Brodie Jones","Interchange",68,1,0,1,0.2,0
"Pasami Saulo","Interchange",45,0,0,0,0,0
"Scott Drinkwater","Halfback",96,2,5,1,0.4,1
"Ben Thomas","Interchange",3,0,0,0,0,0
"Ryan Papenhuyzen","Interchange",56,2,3,2,0.4,0.6
"Moses Suli","Winger",78,1,2,1,0.2,0.4
"Nathan Cleary","Five-Eighth",74,2,5,2,0.4,1
"Jarome Luai","Interchange",87,1,5,1,0.2,1
"Wayde Egan","Interchange",83,0,1,0,0,0.2
"Liam Martin","Interchange",83,1,0,1,0.2,0
"Nick Cotric","Winger",46,2,0,2,0.4,0
"Kalani Going","Replacement",2,0,0,0,0,0
"Sebastian Kris","Interchange",87,2,1,2,0.4,0.2
"Tristan Sailor","Halfback",20,1,2,1,0.2,0.4
"Trent Peoples","Replacement",3,0,0,0,0,0
"Keaon Koloamatangi","Interchange",89,0,0,0,0,0
"Siosifa Talakai","Interchange",91,1,1,1,0.2,0.2
"Cameron Murray","Interchange",59,1,0,1,0.2,0
"Oliver Gildart","Centre",10,1,1,1,0.2,0.2
"Billy Walters","Five-Eighth",97,1,6,1,0.2,1.2
"Michael Molo","Interchange",49,0,0,0,0,0
"Brad Parker","Winger",29,1,0,1,0.2,0
"Jack Johns","Interchange",15,0,0,0,0,0
"Taniela Paseka","Interchange",57,0,1,0,0,0.2
"Sean Keppie","Interchange",81,0,0,0,0,0
"Blayke Brailey","Interchange",105,1,1,1,0.2,0.2
"William Kennedy","Fullback",91,0,3,0,0,0.6
"Campbell Graham","Winger",52,0,1,0,0,0.2
"Luke Metcalf","Reserve",40,1,5,1,0.2,1
"Matt Croker","Interchange",84,1,0,1,0.2,0
"Payne Haas","Interchange",81,1,1,1,0.2,0.2
"Jaeman Salmon","Interchange",87,0,0,0,0,0
"Zac Lomax","Interchange",84,2,0,1,0.4,0
"Brandon Wakeham","Interchange",19,0,3,0,0,0.6
"Thomas Flegler","Interchange",44,2,1,2,0.4,0.2
"Tyson Smoothy","Interchange",59,0,0,0,0,0
"Braydon Trindall","Halfback",82,1,5,1,0.2,1
"Greg Marzhew","Winger",79,3,0,3,0.6,0
"Toby Rudolf","Interchange",75,1,0,1,0.2,0
"Kyle Flanagan","Five-Eighth",81,1,1,1,0.2,0.2
"Gehamat Shibasaki","Centre",28,6,2,4,1.2,0.4
"Enari Tuala","Interchange",52,4,0,3,0.8,0
"Reuben Cotter","Interchange",79,0,0,0,0,0
"Tristan Hope","Hooker",10,0,0,0,0,0
"Thomas Mikaele","Interchange",43,0,0,0,0,0
"Keenan Palasia","Interchange",58,0,0,0,0,0
"Max King","Interchange",89,0,0,0,0,0
"Bailey Simonsson","Winger",58,2,1,2,0.4,0.2
"Emre Guler","Interchange",70,2,1,2,0.4,0.2
"Haze Dunster","Winger",7,0,0,0,0,0
"Oregon Kaufusi","Interchange",95,0,0,0,0,0
"Sam Verrills","Interchange",71,1,2,1,0.2,0.4
"Franklin Pele","Reserve",6,0,0,0,0,0
"Matthew French","Interchange",2,0,0,0,0,0
"Tex Hoy","Fullback",13,2,0,2,0.4,0
"Ben Talty","Interchange",10,0,0,0,0,0
"Blake Taaffe","Reserve",53,0,0,0,0,0
"Phoenix Crossland","Interchange",92,0,3,0,0,0.6
"Alex Seyfarth","Interchange",81,0,0,0,0,0
"Mawene Hiroti","Interchange",26,2,3,2,0.4,0.6
"Dean Hawkins","Interchange",28,0,2,0,0,0.4
"Daniel Fifita","Interchange",38,0,0,0,0,0
"Ky Rodwell","Interchange",5,0,0,0,0,0
"Egan Butcher","Reserve",59,0,1,0,0,0.2
"Sione Fonua","Centre",1,0,0,0,0,0
"Josh Curran","Interchange",88,0,1,0,0,0.2
"Bronson Xerri","Centre",44,1,0,1,0.2,0
"James Roumanos","Lock",3,0,0,0,0,0
"Jake Tago","Winger",10,2,0,2,0.4,0
"Shawn Blore","Interchange",64,1,0,1,0.2,0
"Freddy Lussick","Interchange",50,0,0,0,0,0
"Sean O'Sullivan","Halfback",52,0,0,0,0,0
"Dan Russell","Winger",8,0,1,0,0,0.2
"Kalyn Ponga","Winger",63,1,3,1,0.2,0.6
"Brendan Hands","Interchange",45,1,1,1,0.2,0.2
"Brayden McGrady","Winger",1,1,0,1,1,0
"Lazarus Vaalepu","Interchange",14,0,0,0,0,0
"Josh Rogers","Five-Eighth",10,3,0,3,0.6,0
"Jack Murchie","Interchange",23,0,0,0,0,0
"Sitili Tupouniua","Interchange",58,0,0,0,0,0
"Dan Keir","Interchange",11,0,0,0,0,0
"Isaac Lumelume","Centre",2,0,0,0,0,0
"Brian To'o","Winger",81,3,2,2,0.6,0.4
"Billy Burns","Interchange",45,2,2,2,0.4,0.4
"Mitchell Kenny","Interchange",93,0,1,0,0,0.2
"Jackson Ford","Interchange",71,0,0,0,0,0
"Brayden Musgrove","Winger",1,0,0,0,0,0
"Reed Mahoney","Interchange",102,0,0,0,0,0
"Harley Smith-Shields","Interchange",14,1,0,1,0.2,0
"Chris Patolo","Interchange",24,0,0,0,0,0
"Declan Casey","Centre",9,1,0,1,0.2,0
"Nick Meaney","Fullback",94,2,1,2,0.4,0.2
"Lindsay Smith","Interchange",82,1,0,1,0.2,0
"Spencer Leniu","Interchange",83,0,0,0,0,0
"Lachlan Ilias","Halfback",60,0,1,0,0,0.2
"Aaron Schoupp","Reserve",51,1,0,1,0.2,0
"Dylan Lucas","Interchange",51,0,0,0,0,0
"Harrison Edwards","Interchange",57,0,0,0,0,0
"Dylan Brown","Five-Eighth",88,1,0,1,0.2,0
"Stefano Utoikamanu","Interchange",79,0,0,0,0,0
"Matt Doorey","Interchange",36,1,0,1,0.2,0
"Luke Sommerton","Hooker",14,0,0,0,0,0
"Jayden Tanner","Replacement",6,0,0,0,0,0
"Tommy Talau","Centre",51,1,0,1,0.2,0
"Jake Averillo","Interchange",93,3,1,2,0.6,0.2
"Ryan Gray","Interchange",5,0,0,0,0,0
"Kurtis Morrin","Replacement",56,0,0,0,0,0
"Bayleigh Bentley-Hape","Replacement",10,2,0,2,0.4,0
"Luca Moretti","Interchange",37,0,0,0,0,0
"Paul Turner","Halfback",10,1,0,1,0.2,0
"Jock Madden","Interchange",33,0,2,0,0,0.4
"Albert Hopoate","Centre",50,2,0,2,0.4,0
"Josh Schuster","Five-Eighth",29,1,3,1,0.2,0.6
"Jackson Frei","Prop",5,0,0,0,0,0
"Adam Doueihi","Halfback",45,2,1,2,0.4,0.2
"Hayze Perham","Interchange",30,0,1,0,0,0.2
"Bailey Hayward","Interchange",46,1,0,1,0.2,0
"Jesse Arthars","Interchange",82,0,0,0,0,0
"Jake Clifford","Fullback",37,1,4,1,0.2,0.8
"Harry Grant","Interchange",88,1,1,1,0.2,0.2
"Phillip Sami","Winger",70,6,0,4,1.2,0
"Joseph Vuna","Interchange",10,0,0,0,0,0
"Connor Muhleisen","Interchange",11,1,0,1,0.2,0
"Corey Allan","Interchange",39,1,0,1,0.2,0
"Isaiah Papali'i","Interchange",90,3,0,3,0.6,0
"Zac Hosking","2nd Row",55,0,0,0,0,0
"Jaiyden Hunt","Interchange",37,0,0,0,0,0
"Andrew Davey","Interchange",32,0,0,0,0,0
"Justin Olam","Centre",54,3,0,2,0.6,0
"Corey Horsburgh","Interchange",74,2,0,2,0.4,0
"Braidon Burns","Winger",41,5,0,5,1,0
"Treymain Spry","Winger",1,0,0,0,0,0
"Lorenzo Mulitalo","Winger",1,0,0,0,0,0
"Ronaldo Mulitalo","Winger",96,6,1,3,1.2,0.2
"Ethan Quai-Ward","Centre",1,1,1,1,1,1
"Eddie Blacker","Interchange",1,0,0,0,0,0
"Ethan Bullemor","Interchange",87,2,0,2,0.4,0
"Tom Gilbert","Interchange",45,0,0,0,0,0
"Daejarn Asi","Five-Eighth",38,1,4,1,0.2,0.8
"Solomona Faataape","Centre",20,2,1,2,0.4,0.2
"Harrison Graham","Interchange",14,2,0,2,0.4,0
"Jaxson Paulo","Winger",50,0,0,0,0,0
"Alexander Brimson","Five-Eighth",72,3,4,2,0.6,0.8
"Moeaki Fotuaika","Interchange",86,0,0,0,0,0
"Beau Fermor","2nd Row",69,4,1,4,0.8,0.2
"Blake Wilson","Winger",34,0,1,0,0,0.2
"Adam Cook","Fullback",9,0,0,0,0,0
"Bailey Biondi-Odo","Interchange",8,0,0,0,0,0
"Tom Dearden","Halfback",92,2,1,2,0.4,0.2
"Ben Condon","Interchange",9,0,0,0,0,0
"Lachlan Hubner","Interchange",24,1,1,1,0.2,0.2
"Tanah Boyd","Interchange",71,0,4,0,0,0.8
"Tesi Niu","Halfback",35,4,0,3,0.8,0
"David Fifita","Interchange",68,0,1,0,0,0.2
"Cory Paix","Hooker",51,0,0,0,0,0
"Tino Faasuamaleaui","Interchange",62,1,0,1,0.2,0
"Isaiah Tass","Interchange",73,0,2,0,0,0.4
"Kai O'Donnell","Lock",21,0,0,0,0,0
"Kobe Hetherington","Interchange",91,0,0,0,0,0
"Patrick Carrigan","Interchange",84,0,1,0,0,0.2
"Jacob Alick","Interchange",27,0,0,0,0,0
"Kelma Tuilagi","Lock",68,0,3,0,0,0.6
"Bradman Best","Centre",74,1,2,1,0.2,0.4
"Chanel Harris-Tavita","Five-Eighth",59,1,3,1,0.2,0.6
"Alec Tuitavake","Replacement",1,0,0,0,0,0
"Alfred Smalley","Winger",2,1,0,1,0.5,0
"Preston Riki","Interchange",4,0,0,0,0,0
"Briton Nikora","2nd Row",97,0,0,0,0,0
"Pio Seci","Interchange",1,0,0,0,0,0
"Morgan Harper","Centre",37,2,0,2,0.4,0
"Paul Roache","Interchange",5,0,0,0,0,0
"Teig Wilton","Interchange",85,1,0,1,0.2,0
"Daine Laurie","Interchange",66,0,1,0,0,0.2
"J'maine Hopgood","Reserve",66,1,1,1,0.2,0.2
"Jason Saab","Winger",72,0,1,0,0,0.2
"Tyran Wishart","Interchange",90,1,0,1,0.2,0
"Junior Tupou","Winger",41,1,0,1,0.2,0
"Taylan May","Winger",36,3,1,2,0.6,0.2
"Mavrik Geyer","Replacement",21,0,0,0,0,0
"Hohepa Puru","Replacement",14,0,0,0,0,0
"Peter Mamouzelos","Interchange",43,2,1,2,0.4,0.2
"Kaeo Weekes","Replacement",66,3,0,2,0.6,0
"Viliami Fifita","Interchange",5,0,0,0,0,0
"Ben Trbojevic","Reserve",71,1,1,1,0.2,0.2
"Jacob Preston","Interchange",61,4,1,2,0.8,0.2
"Trey Mooney","Reserve",31,0,1,0,0,0.2
"Will Penisini","Reserve",95,2,2,2,0.4,0.4
"Max Feagai","Interchange",26,1,1,1,0.2,0.2
"Mathew Feagai","Winger",64,3,1,2,0.6,0.2
"Jayden Sullivan","Five-Eighth",44,0,0,0,0,0
"Jackson Topine","Interchange",14,0,0,0,0,0
"Lipoi Hopoi","Interchange",16,1,0,1,0.2,0
"Connelly Lemuelu","Winger",68,2,0,1,0.4,0
"Kitione Kautoga","Interchange",18,1,1,1,0.2,0.2
"Grant Anderson","Centre",62,1,0,1,0.2,0
"Kotoni Staggs","Interchange",94,3,1,3,0.6,0.2
"Jirah Momoisea","Interchange",8,0,0,0,0,0
"Adam Pompey","Winger",90,4,2,3,0.8,0.4
"Mikaele Ravalawa","Winger",50,0,0,0,0,0
"Haumole Olakau'atu","Interchange",81,3,0,2,0.6,0
"Stephen Crichton","Centre",89,0,1,0,0,0.2
"Terrell May","Interchange",78,0,0,0,0,0
"Kane Bradley","Winger",22,2,0,1,0.4,0
"Aublix Tawha","Interchange",10,0,0,0,0,0
"Taine Tuaupiki","Fullback",43,0,2,0,0,0.4
"Herbie Farnworth","Winger",77,2,2,2,0.4,0.4
"Sean Mullany","Hooker",3,0,0,0,0,0
"Wiremu Greig","Interchange",29,0,0,0,0,0
"Peter Hola","Interchange",7,0,0,0,0,0
"Trent Toelau","Interchange",15,0,0,0,0,0
"Samuel Hughes","Interchange",40,0,0,0,0,0
"Austin Dias","Interchange",11,0,0,0,0,0
"Murray Taulagi","Winger",78,5,0,4,1,0
"Tyson Gamble","Five-Eighth",56,0,3,0,0,0.6
"Trai Fuller","Interchange",20,2,4,2,0.4,0.8
"Gordon Chan Kum Tong","Replacement",17,0,0,0,0,0
"Maika Sivo","Winger",48,6,1,3,1.2,0.2
"Tristan Powell","Interchange",1,0,0,0,0,0
"Jake Simpkin","Hooker",65,1,0,1,0.2,0
"Kayal Iro","Replacement",45,2,0,2,0.4,0
"Billy Smith","Centre",42,0,1,0,0,0.2
"Starford To'a","Winger",64,0,1,0,0,0.2
"Sione Fainu","Interchange",36,0,0,0,0,0
"Jordan Martin","Interchange",1,0,0,0,0,0
"Charlie Staines","Centre",59,2,0,2,0.4,0
"Matt Burton","Five-Eighth",91,2,0,2,0.4,0
"Cody Ramsey","Winger",16,1,1,1,0.2,0.2
"Joseph Suaalii","Reserve",61,1,1,1,0.2,0.2
"Dion Teaupa","Halfback",10,0,0,0,0,0
"Davvy Moale","Interchange",74,1,0,1,0.2,0
"Krystian Mapapalangi","Replacement",11,1,0,1,0.2,0
"Sunia Turuva","Replacement",85,1,1,1,0.2,0.2
"Niwhai Puru","Replacement",2,0,0,0,0,0
"Zac Lipowicz","2nd Row",1,0,0,0,0,0
"Izack Tago","Reserve",93,0,5,0,0,1
"Brandon Tumeth","Interchange",1,0,0,0,0,0
"Tyrell Sloan","Fullback",75,2,2,2,0.4,0.4
"Brad Morkos","Replacement",1,0,0,0,0,0
"Junior Amone","Reserve",43,1,1,1,0.2,0.2
"Justin Matamua","Interchange",26,0,1,0,0,0.2
"Jonah Pezet","Five-Eighth",18,0,3,0,0,0.6
"Thomas Cant","Interchange",36,0,0,0,0,0
"Tallis Duncan","Replacement",54,4,1,3,0.8,0.2
"Caleb Navale","Interchange",12,1,0,1,0.2,0
"Jordan Samrani","Winger",19,2,0,1,0.4,0
"Samuel Stonestreet","Replacement",18,4,0,2,0.8,0
"Manaia Waitere","Replacement",3,0,0,0,0,0
"Kade Dykes","Replacement",5,1,0,1,0.2,0
"Samuel Healey","Interchange",12,1,0,1,0.2,0
"Sandon Smith","Replacement",52,0,2,0,0,0.4
"Hugo Savala","Replacement",23,0,1,0,0,0.2
"Joseph O'Neill","Replacement",1,0,0,0,0,0
"Khaled Rajab","Interchange",4,0,0,0,0,0
"Tolutau Koula","Interchange",83,5,1,5,1,0.2
"Toni Mataele","Replacement",4,0,0,0,0,0
"Matthew Timoko","Interchange",100,0,1,0,0,0.2
"Sean Russell","Winger",62,2,3,2,0.4,0.6
"Jakob Arthur","Five-Eighth",55,0,1,0,0,0.2
"Tony Francis","Replacement",18,0,1,0,0,0.2
"Asu Kepaoa","Winger",40,1,0,1,0.2,0
"Brock Greacen","Interchange",1,0,0,0,0,0
"Edward Kosi","Reserve",33,2,0,2,0.4,0
"Tom Ale","Prop",41,0,0,0,0,0
"Semi Valemei","Interchange",25,4,0,2,0.8,0
"Joshua Stuckey","Interchange",1,0,0,0,0,0
"Fletcher Baker","Interchange",48,0,0,0,0,0
"Tuku Hau Tapuha","Interchange",19,1,0,1,0.2,0
"Reece Walsh","Fullback",79,5,9,4,1,1.8
"Xavier Savage","Reserve",71,2,0,2,0.4,0
"Brendan Piakura","Reserve",53,1,0,1,0.2,0
"Thomas Hazelton","Interchange",58,0,0,0,0,0
"Temple Kalepo","Interchange",1,0,0,0,0,0
"Oryn Keeley","Interchange",36,1,0,1,0.2,0
"Zane Bijorac","Replacement",1,0,0,0,0,0
"Zac Fulton","Interchange",2,0,0,0,0,0
"Moala Graham-Taufa","Reserve",6,1,1,1,0.2,0.2
"Eliesa Katoa","Interchange",92,4,2,4,0.8,0.4
"Samuela Fainu","Replacement",52,1,3,1,0.2,0.6
"Zac Laybutt","Replacement",27,0,1,0,0,0.2
"Tukimihia Simpkins","Interchange",4,0,0,0,0,0
