"FullName","position","total_matches_played_since_2022","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"Lachlan Galvin","Five-Eighth",45,2,3,2,0.4,0.6
"Alex Lobb","Reserve",4,1,0,1,0.25,0
"Jack Bostock","Winger",40,6,3,3,1.2,0.6
"Benaiah Ioelu","Hooker",12,0,0,0,0,0
"Alec MacDonald","Interchange",70,0,0,0,0,0
"Leo Thompson","Interchange",82,1,1,1,0.2,0.2
"James Schiller","Centre",43,2,0,1,0.4,0
"Deine Mariner","Replacement",59,4,1,3,0.8,0.2
"Coby Williamson","Replacement",2,0,0,0,0,0
"Robert Derby","Winger",19,1,0,1,0.2,0
"Kulikefu Finefeuiaki","Interchange",57,1,1,1,0.2,0.2
"Thomas Duffy","Replacement",10,0,0,0,0,0
"Ben Lovett","Interchange",3,0,0,0,0,0
"Aitasi James","Interchange",8,0,0,0,0,0
"Thomas Jenkins","Centre",34,2,1,2,0.4,0.2
"Liam Henry","Interchange",53,1,0,1,0.2,0
"Iszac Fa'asuamaleaui","Interchange",33,0,0,0,0,0
"Dominic Young","Centre",86,1,0,1,0.2,0
"Lewis Dodd","Interchange",8,0,1,0,0,0.2
"Kai Pearce-Paul","Interchange",44,0,0,0,0,0
"Harry Rushton","Interchange",6,0,0,0,0,0
"Joe Chan","Interchange",33,0,0,0,0,0
"Sosefo Fifita","Replacement",63,2,1,1,0.4,0.2
"Tyrone Munro","Centre",21,2,0,2,0.4,0
"Salesi Foketi","Interchange",19,0,0,0,0,0
"Jermaine McEwen","Interchange",17,2,1,2,0.4,0.2
"Robert Toia","Centre",22,2,3,2,0.4,0.6
"Ryan Couchman","Replacement",18,0,1,0,0,0.2
"Fletcher Hunt","Winger",12,2,0,2,0.4,0
"Billy Phillips","Interchange",1,0,0,0,0,0
"De La Salle Va'a","Interchange",2,0,0,0,0,0
"Jamal Shibasaki","Interchange",2,0,0,0,0,0
"Jaxon Purdue","Centre",35,4,2,3,0.8,0.4
