"","FullName","position","tries_last_5_games","try_assists_last_5_games","games_with_try_last_5_games","tries_per_game_last_5_games","try_assists_per_game_last_5_games"
"63","Jeremiah Nanai","Interchange",2,1,2,0.4,0.2
"64","Paul Bryan","Replacement",0,0,0,0,0
"65","Morgan Smithies","Lock",0,0,0,0,0
"66","James Walsh","Replacement",0,0,0,0,0
"67","Ashton Ward","Interchange",1,1,1,0.2,0.2
"68","Hamish Stewart","Replacement",0,0,0,0,0
"69","Dylan Egan","Replacement",2,0,2,0.4,0
"70","Liam Ison","Fullback",0,1,0,0,1
"71","Isaiya Katoa","Five-Eighth",1,4,1,0.2,0.8
"72","Harrison Hassett","Interchange",1,0,1,0.5,0
"73","Luron Patea","Interchange",0,0,0,0,0
"74","Zyon Maiu'u","Replacement",0,0,0,0,0
"75","Ali Leiataua","Centre",0,1,0,0,0.2
"76","Sualauvi Faalogo","Interchange",3,1,2,0.6,0.2
"77","Noah Martin","Replacement",2,0,2,0.4,0
"78","Naufahu Whyte","Interchange",2,0,1,0.4,0
"79","Sam Tuivaiti","Interchange",0,0,0,0,0
"80","Charlie Guymer","Interchange",0,2,0,0,0.4
"81","Fletcher Sharpe","Fullback",4,0,3,0.8,0
"82","Vena Patuki-Case","Replacement",0,0,0,0,0
"83","Thomas Fletcher","Replacement",1,1,1,0.2,0.2
"84","Ethan Roberts","Replacement",0,0,0,0,0
"85","Ethan Strange","Centre",6,3,4,1.2,0.6
"86","Blake Steep","Interchange",0,0,0,0,0
"87","Nick Tsougranis","Centre",0,0,0,0,0
"88","Jesse McLean","Fullback",1,0,1,0.2,0
"89","Jamie Humphreys","Halfback",0,0,0,0,0
"90","Tim Johannssen","Interchange",0,0,0,0,0
"91","Josh Feledy","Replacement",1,0,1,0.2,0
"92","Latu Fainu","Interchange",1,2,1,0.2,0.4
"93","Viliami Vailea","Centre",0,5,0,0,1
"94","Heath Mason","Interchange",0,0,0,0,0
"95","Tallyn Da Silva","Interchange",1,0,1,0.2,0
"96","Kit Laulilii","Replacement",0,0,0,0,0
"97","Josiah Karapani","Replacement",3,0,3,0.6,0
"98","Harry Hayes","Replacement",0,0,0,0,0
"99","Rocco Berry","Centre",1,0,1,0.2,0
"100","Joe Roddy","Interchange",2,0,1,2,0
"101","Blaize Talagi","Replacement",0,1,0,0,0.2
"102","Jaylan De Groot","Replacement",3,0,3,0.6,0
"103","Tom Weaver","Halfback",0,0,0,0,0
"104","Keagan Russell-Smith","Interchange",0,0,0,0,0
"105","Jack Todd","Interchange",1,0,1,0.25,0
"106","Luke Smith","Replacement",0,0,0,0,0
"107","Kyle McCarthy","Centre",1,0,1,0.2,0
"108","Eli Clark","Replacement",0,0,0,0,0
"109","Jordan Miller","Interchange",0,0,0,0,0
"110","Chevy Stewart","Fullback",0,0,0,0,0
"111","Lachlan Galvin","Five-Eighth",2,3,2,0.4,0.6
"112","Alex Lobb","Reserve",1,0,1,0.25,0
"113","Jack Bostock","Winger",6,3,3,1.2,0.6
"114","Benaiah Ioelu","Hooker",0,0,0,0,0
"115","Alec MacDonald","Interchange",0,0,0,0,0
"116","Leo Thompson","Interchange",1,1,1,0.2,0.2
"117","James Schiller","Centre",2,0,1,0.4,0
"118","Deine Mariner","Replacement",4,1,3,0.8,0.2
"119","Coby Williamson","Replacement",0,0,0,0,0
"120","Robert Derby","Winger",1,0,1,0.2,0
"121","Kulikefu Finefeuiaki","Interchange",1,1,1,0.2,0.2
"122","Thomas Duffy","Replacement",0,0,0,0,0
"123","Ben Lovett","Interchange",0,0,0,0,0
"124","Aitasi James","Interchange",0,0,0,0,0
"125","Thomas Jenkins","Centre",2,1,2,0.4,0.2
"126","Liam Henry","Interchange",1,0,1,0.2,0
"127","Iszac Fa'asuamaleaui","Interchange",0,0,0,0,0
"128","Dominic Young","Centre",1,0,1,0.2,0
"129","Lewis Dodd","Interchange",0,1,0,0,0.2
"130","Kai Pearce-Paul","Interchange",0,0,0,0,0
"131","Harry Rushton","Interchange",0,0,0,0,0
"132","Joe Chan","Interchange",0,0,0,0,0
"133","Sosefo Fifita","Replacement",2,1,1,0.4,0.2
"134","Tyrone Munro","Centre",2,0,2,0.4,0
"135","Salesi Foketi","Interchange",0,0,0,0,0
"136","Jermaine McEwen","Interchange",2,1,2,0.4,0.2
"137","Robert Toia","Centre",2,3,2,0.4,0.6
"138","Ryan Couchman","Replacement",0,1,0,0,0.2
"139","Fletcher Hunt","Winger",2,0,2,0.4,0
"140","Billy Phillips","Interchange",0,0,0,0,0
"141","De La Salle Va'a","Interchange",0,0,0,0,0
"142","Jamal Shibasaki","Interchange",0,0,0,0,0
"143","Jaxon Purdue","Centre",4,2,3,0.8,0.4
"144","Karl Oloapu","Interchange",0,1,0,0,0.2
"145","Riley Jones","Interchange",0,0,0,0,0
"146","Josiah Pahulu","Replacement",1,0,1,0.2,0
"147","Jack Underhill","Replacement",0,0,0,0,0
"148","Benjamin Te Kura","Replacement",0,0,0,0,0
"149","Liam Le Blanc","Interchange",1,0,1,0.2,0
"150","Jye Gray","Fullback",1,2,1,0.2,0.4
"151","Blake Mozer","Interchange",0,1,0,0,0.2
"152","Va'a Semu","Replacement",0,0,0,0,0
"153","Owen Pattie","Interchange",0,0,0,0,0
"154","Keano Kini","Interchange",0,2,0,0,0.4
"155","Arama Hau","2nd Row",1,0,1,0.2,0
"156","Valingi Kepu","Replacement",0,0,0,0,0
"157","Klese Haas","Interchange",0,1,0,0,0.2
"158","Ethan King","Replacement",0,0,0,0,0
"159","Ativalu Lisati","Replacement",1,0,1,0.2,0
"160","Kain Anderson","Interchange",0,0,0,0,0
"161","Matty Nicholson","Lock",0,0,0,0,0
"162","Will Pryce","Five-Eighth",1,0,1,0.2,0
"163","Josh Patston","Interchange",1,0,1,0.2,0
"164","Lachlan Miller","Replacement",0,0,0,0,0
"165","Will Warbrick","Winger",4,1,4,0.8,0.2
"166","Lehi Hopoate","Fullback",4,2,2,0.8,0.4
"167","Simione Laiafi","Replacement",0,0,0,0,0
"168","Connor Votano","Fullback",0,0,0,0,0
"169","Mitchell Woods","Replacement",0,0,0,0,0
"170","Matthew Arthur","Interchange",0,0,0,0,0
"171","Cody Hopwood","Interchange",0,0,0,0,0
"172","Hayden Buchanan","Centre",1,1,1,0.2,0.2
"173","Toby Couchman","Interchange",0,0,0,0,0
"174","Siulagi Tuimalatu-Brown","Winger",0,0,0,0,0
"175","Jonathan Sua","Winger",0,0,0,0,0
